Controller,0,1
Controller,1,1
Controller,2,1
Controller,3,0.985
Controller,4,0.995
Controller,5,0.9725
Controller,6,1
Controller,7,0.975
Controller,8,0.9875
Controller,9,1
Controller,10,0.975
Controller,11,0.9775
Controller,12,0.9975
Controller,13,1
Controller,14,0.97
Controller,15,1
Controller,16,1
Controller,17,0.975
Controller,18,0.995
Controller,19,0.9625
Controller,20,0.9975
Controller,21,0.9575
Controller,22,1
Controller,23,0.9975
Controller,24,1
Controller,25,1
Controller,26,1
Controller,27,1
Controller,28,0.975
Controller,29,0.965

